"dataset_code","time","geo","value","unit","obs_status","method","freq","group"
"ind_cloud_storage_files",2015-01-01,"IS",42.3333333333333,"PC_IND","A","approx","A","Nordic"
"ind_cloud_storage_files",2015-01-01,"IT",19,"PC_IND","A","A","A","South"
"ind_cloud_storage_files",2015-01-01,"LT",16,"PC_IND","A","A","A","Baltic"
"ind_cloud_storage_files",2015-01-01,"LU",44,"PC_IND","A","A","A","Benelux"
"ind_cloud_storage_files",2015-01-01,"LV",21,"PC_IND","A","A","A","Baltic"
"ind_cloud_storage_files",2015-01-01,"ME",24,"PC_IND","A","nocb","A","Southeast"
"ind_cloud_storage_files",2015-01-01,"MK",22,"PC_IND","A","A","A","Southeast"
"ind_cloud_storage_files",2015-01-01,"MT",31,"PC_IND","A","A","A","South"
"ind_cloud_storage_files",2015-01-01,"NL",36,"PC_IND","A","A","A","Benelux"
"ind_cloud_storage_files",2015-01-01,"NO",48,"PC_IND","A","A","A","Nordic"
"ind_cloud_storage_files",2015-01-01,"PL",14,"PC_IND","A","A","A","Visegrad"
"ind_cloud_storage_files",2015-01-01,"PT",21,"PC_IND","A","A","A","South"
"ind_cloud_storage_files",2015-01-01,"RO",22,"PC_IND","A","A","A","Southeast"
"ind_cloud_storage_files",2015-01-01,"RS",10,"PC_IND","A","A","A","Southeast"
"ind_cloud_storage_files",2015-01-01,"SE",41,"PC_IND","A","A","A","Nordic"
"ind_cloud_storage_files",2015-01-01,"SI",19,"PC_IND","A","A","A","Central"
"ind_cloud_storage_files",2015-01-01,"SK",19,"PC_IND","A","A","A","Visegrad"
"ind_cloud_storage_files",2015-01-01,"SK",19,"PC_IND","A","A","A","Southeast"
"ind_cloud_storage_files",2015-01-01,"TR",8,"PC_IND","A","nocb","A","Southeast"
"ind_cloud_storage_files",2015-01-01,"UK",43,"PC_IND","A","A","A","West"
"ind_cloud_storage_files",2015-01-01,"XK",26,"PC_IND","A","nocb","A","Southeast"
"ind_cloud_storage_files",2015-01-01,"AL",16,"PC_IND","A","nocb","A","Southeast"
"ind_cloud_storage_files",2015-01-01,"CH",33.6666666666667,"PC_IND","A","approx","A","Central"
"ind_cloud_storage_files",2015-01-01,"EU28",25,"PC_IND","A","A","A","aggregate"
"ind_cloud_storage_files",2015-01-01,"FR",19,"PC_IND","A","A","A","West"
"ind_cloud_storage_files",2015-01-01,"EU15",27,"PC_IND","A","A","A","aggregate"
"ind_cloud_storage_files",2015-01-01,"EU27_2007",25,"PC_IND","A","A","A","aggregate"
"ind_cloud_storage_files",2016-01-01,"AT",22,"PC_IND","A","A","A","Central"
"ind_cloud_storage_files",2016-01-01,"BA",7,"PC_IND","A","nocb","A","Southeast"
"ind_cloud_storage_files",2016-01-01,"BE",32,"PC_IND","A","A","A","Benelux"
"ind_cloud_storage_files",2016-01-01,"BG",14,"PC_IND","A","A","A","Southeast"
"ind_cloud_storage_files",2016-01-01,"CY",19,"PC_IND","A","A","A","South"
"ind_cloud_storage_files",2016-01-01,"CZ",22,"PC_IND","A","A","A","Visegrad"
"ind_cloud_storage_files",2016-01-01,"DE",22,"PC_IND","A","A","A","Central"
"ind_cloud_storage_files",2016-01-01,"DK",49,"PC_IND","A","approx","A","Nordic"
"ind_cloud_storage_files",2016-01-01,"EA",24,"PC_IND","A","A","A","aggregate"
"ind_cloud_storage_files",2016-01-01,"EE",33,"PC_IND","A","A","A","Baltic"
"ind_cloud_storage_files",2016-01-01,"EL",18,"PC_IND","A","A","A","Southeast"
"ind_cloud_storage_files",2016-01-01,"ES",29,"PC_IND","A","A","A","South"
"ind_cloud_storage_files",2016-01-01,"EU27_2020",23,"PC_IND","A","A","A","aggregate"
"ind_cloud_storage_files",2016-01-01,"FI",35,"PC_IND","A","A","A","Nordic"
"ind_cloud_storage_files",2016-01-01,"HR",19,"PC_IND","A","A","A","Southeast"
"ind_cloud_storage_files",2016-01-01,"HU",24,"PC_IND","A","A","A","Visegrad"
"ind_cloud_storage_files",2016-01-01,"IE",36,"PC_IND","A","A","A","West"
"ind_cloud_storage_files",2016-01-01,"IS",50.6666666666667,"PC_IND","A","approx","A","Nordic"
"ind_cloud_storage_files",2016-01-01,"IT",20,"PC_IND","A","A","A","South"
"ind_cloud_storage_files",2016-01-01,"LT",18,"PC_IND","A","A","A","Baltic"
