"dataset_code","time","geo","value","unit","obs_status","method"
"ind_cloud_storage_files",2012-01-01,"AT",21.9998992402484,"PC_IND","E","Backcast ETS(M,N,N)"
"ind_cloud_storage_files",2012-01-01,"BA",5.25256437649532,"PC_IND","E","Backcast ETS(A,A,N)"
"ind_cloud_storage_files",2012-01-01,"BE",28.0001000303145,"PC_IND","E","Backcast ETS(M,N,N)"
"ind_cloud_storage_files",2012-01-01,"BG",12.8882322254154,"PC_IND","E","Backcast ETS(A,N,N)"
"ind_cloud_storage_files",2012-01-01,"CY",13.2748791706107,"PC_IND","E","Backcast ETS(A,N,N)"
"ind_cloud_storage_files",2012-01-01,"CZ",16.0004005468704,"PC_IND","E","Backcast ETS(A,N,N)"
"ind_cloud_storage_files",2012-01-01,"DE",21.0002002453913,"PC_IND","E","Backcast ETS(A,N,N)"
"ind_cloud_storage_files",2012-01-01,"DK",42.0001001333564,"PC_IND","E","Backcast ETS(A,N,N)"
"ind_cloud_storage_files",2012-01-01,"EA",21.0002001504543,"PC_IND","E","Backcast ETS(A,N,N)"
"ind_cloud_storage_files",2012-01-01,"EE",24.0007008331025,"PC_IND","E","Backcast ETS(A,N,N)"
"ind_cloud_storage_files",2012-01-01,"EL",11.0007000064878,"PC_IND","E","Backcast ETS(A,N,N)"
"ind_cloud_storage_files",2012-01-01,"ES",24.0001000451804,"PC_IND","E","Backcast ETS(A,N,N)"
"ind_cloud_storage_files",2012-01-01,"EU27_2020",19.0003000819114,"PC_IND","E","Backcast ETS(A,N,N)"
"ind_cloud_storage_files",2012-01-01,"FI",24.5696114908603,"PC_IND","E","Backcast ETS(A,N,N)"
"ind_cloud_storage_files",2012-01-01,"HR",14.8296916629736,"PC_IND","E","Backcast ETS(A,N,N)"
"ind_cloud_storage_files",2012-01-01,"HU",12.3426118983328,"PC_IND","E","Backcast ETS(M,N,N)"
"ind_cloud_storage_files",2012-01-01,"IE",29.482477442503,"PC_IND","E","Backcast ETS(A,N,N)"
"ind_cloud_storage_files",2012-01-01,"IS",34.0008354516511,"PC_IND","E","Backcast ETS(A,N,N)"
"ind_cloud_storage_files",2012-01-01,"IT",17.0002001161794,"PC_IND","E","Backcast ETS(M,N,N)"
"ind_cloud_storage_files",2012-01-01,"LT",8.00080010751862,"PC_IND","E","Backcast ETS(A,N,N)"
"ind_cloud_storage_files",2012-01-01,"LU",38.285095962541,"PC_IND","E","Backcast ETS(A,N,N)"
"ind_cloud_storage_files",2012-01-01,"LV",14.0007039955137,"PC_IND","E","Backcast ETS(A,N,N)"
"ind_cloud_storage_files",2012-01-01,"ME",24,"PC_IND","E","Backcast ETS(A,N,N)"
"ind_cloud_storage_files",2012-01-01,"MK",14.1201340681619,"PC_IND","E","Backcast ETS(A,N,N)"
"ind_cloud_storage_files",2012-01-01,"MT",22.5251080842233,"PC_IND","E","Backcast ETS(A,N,N)"
"ind_cloud_storage_files",2012-01-01,"NL",34.0002001056385,"PC_IND","E","Backcast ETS(A,N,N)"
"ind_cloud_storage_files",2012-01-01,"NO",40.7513748299335,"PC_IND","E","Backcast ETS(A,N,N)"
"ind_cloud_storage_files",2012-01-01,"PL",8.00060035977998,"PC_IND","E","Backcast ETS(A,N,N)"
"ind_cloud_storage_files",2012-01-01,"PT",16.000500099055,"PC_IND","E","Backcast ETS(A,N,N)"
"ind_cloud_storage_files",2012-01-01,"RO",20.4371087460908,"PC_IND","E","Backcast ETS(M,N,N)"
"ind_cloud_storage_files",2012-01-01,"RS",10.0000000201037,"PC_IND","E","Backcast ETS(M,N,N)"
"ind_cloud_storage_files",2012-01-01,"SE",35.0006002549205,"PC_IND","E","Backcast ETS(A,N,N)"
"ind_cloud_storage_files",2012-01-01,"SI",18.000100204935,"PC_IND","E","Backcast ETS(A,N,N)"
"ind_cloud_storage_files",2012-01-01,"SK",16.0003000425366,"PC_IND","E","Backcast ETS(A,N,N)"
"ind_cloud_storage_files",2012-01-01,"TR",8.00020018753614,"PC_IND","E","Backcast ETS(A,N,N)"
"ind_cloud_storage_files",2012-01-01,"UK",38.0005006276486,"PC_IND","E","Backcast ETS(A,N,N)"
"ind_cloud_storage_files",2012-01-01,"XK",23.6174870719184,"PC_IND","E","Backcast ETS(A,A,N)"
"ind_cloud_storage_files",2012-01-01,"AL",14.4000000000071,"PC_IND","E","Backcast ETS(A,N,N)"
"ind_cloud_storage_files",2012-01-01,"CH",25.2652609978233,"PC_IND","E","Backcast ETS(A,A,N)"
"ind_cloud_storage_files",2012-01-01,"EU28",16.5085794930067,"PC_IND","E","Backcast ETS(A,A,N)"
"ind_cloud_storage_files",2012-01-01,"FR",18.2399521224096,"PC_IND","E","Backcast ETS(A,A,N)"
"ind_cloud_storage_files",2012-01-01,"EU15",20.5502241725061,"PC_IND","E","Backcast ETS(A,A,N)"
"ind_cloud_storage_files",2012-01-01,"EU27_2007",14.8532726118103,"PC_IND","E","Backcast ETS(A,A,N)"
"ind_cloud_storage_files",2013-01-01,"AT",21.9998992402484,"PC_IND","E","Backcast ETS(M,N,N)"
"ind_cloud_storage_files",2013-01-01,"BA",6.79537810280721,"PC_IND","E","Backcast ETS(A,A,N)"
